Time,X,Y,Z
4798,5.021,2.1967,5.021
4801,5.021,1.5691,16.789
4805,-6.1978,1.2553,9.7282
4809,-1.3337,0.7845,10.5127
4813,-6.6685,-3.8442,5.021
4817,8.1591,-2.1967,11.4542
4822,-1.4906,3.295,9.8851
4826,6.5116,-2.5105,10.1989
4830,-0.7845,6.747,13.9647
4834,-2.9028,-4.3934,11.768
4838,-0.1569,1.8044,10.1205
4841,3.6873,1.8044,3.6088
4845,-0.6276,-3.6873,8.4729
4849,6.2763,-1.726,4.158
4853,9.8851,-2.0398,10.4343
4857,-6.0409,-2.5105,16.5536
4861,-3.6088,2.0398,11.2973
4866,0.3138,0.1569,3.6873
4870,1.2553,-1.0983,7.2177
4874,-0.7845,1.726,7.8453
4877,2.1182,0,7.9238
4881,10.042,-4.0796,8.0807
4885,2.0398,0,12.9448
4889,-6.5116,3.7658,12.9448
4893,-12.0818,-6.3547,6.0409
4897,6.1978,2.2751,5.6486
4901,10.7481,-4.2365,8.4729
4905,2.2751,-3.4519,9.8851
4910,-2.589,8.4729,14.9846
4913,-3.2166,-6.9039,3.0597
4917,3.3735,0.863,8.316
4921,-4.3934,5.5702,11.4542
4925,2.5105,-0.5492,12.631
4929,1.4906,-8.1591,6.747
4933,-0.7845,3.4519,8.7083
4937,3.1381,-2.5105,9.1006
4941,-1.5691,-1.4906,6.5116
4944,-2.432,-1.9613,10.905
4948,-2.432,4.158,11.9249
4953,0.7845,-4.3934,4.8641
4957,-4.0796,-0.2354,7.1392
4961,8.0807,-2.589,10.5127
4965,4.6287,-1.4906,16.1614
4969,-1.9613,-0.9414,9.0221
4973,0.2354,-4.0796,1.9613
4977,6.3547,2.5105,7.1392
4980,0.3138,1.5691,17.1028
4984,-0.863,1.0199,12.0818
4988,-2.1182,-4.7072,3.4519
4993,0,3.3735,7.9238
4997,2.1967,0.7845,12.1602
5001,4.6287,-2.5105,11.3757
5005,2.8243,0.9414,11.5326
5009,-3.5304,-1.726,2.1967
5013,2.8243,-0.4707,9.179
5016,0.1569,0.3138,11.1404
5020,6.0409,2.1967,7.2961
5024,-4.0796,1.2553,14.6707
5028,-8.8652,-7.5315,0.3138
5032,4.9426,1.8829,12.3172
5037,7.1392,0.1569,14.2785
5041,3.5304,-4.158,12.1602
5045,-10.042,-1.2553,3.6873
5049,0.4707,1.6475,7.0608
5053,0.0785,-1.0199,10.9834
5056,9.3359,-2.432,15.5337
5060,-9.1006,2.1182,3.1381
5064,2.1182,-1.6475,10.7481
5068,-5.0995,-0.2354,14.7492
5072,-8.0807,3.2166,5.4133
5076,3.0597,-2.3536,4.8641
5081,8.316,-2.9812,9.4928
5085,8.7868,-1.8829,8.7868
5089,0.6276,2.7459,11.2188
5092,2.0398,2.7459,9.9636
5096,0,-2.1182,7.8453
5100,0.5492,0,9.179
5104,-3.0597,-2.1967,6.8254
5108,2.1182,1.8044,4.8641
5112,11.6111,-2.2751,5.0995
5116,1.2553,2.9028,18.9857
5121,-1.0199,1.3337,12.8663
5124,-5.884,-4.2365,6.5901
5128,-1.1768,-0.3923,6.2763
5132,-2.5105,-1.8829,12.8663
5136,8.9437,-2.589,7.8453
5140,-3.295,-0.5492,5.7271
5144,1.8829,1.9613,5.6486
5148,10.2774,1.2553,11.8464
5152,0.1569,-2.6674,11.5326
5156,-3.8442,-4.0011,11.5326
5160,-10.905,-1.9613,4.0011
5164,-1.4122,-1.5691,7.8453
5168,5.021,-5.1779,9.179
5172,4.2365,6.1194,13.8862
5176,-0.1569,-1.4122,10.042
5180,-0.4707,2.6674,4.8641
5184,-5.6486,1.6475,10.905
5188,-2.7459,-3.4519,10.8265
5192,8.7083,-2.0398,6.8254
